Index,Time,Speed [rpm],Setpoint [rpm],Dutty cycle [ms]
0,2019-07-05 11:57:42.253901,0,1800,1000
1,2019-07-05 11:57:42.820528,0,1800,1000
2,2019-07-05 11:57:43.001046,0,1800,1000
3,2019-07-05 11:57:43.182560,0,1800,1000
4,2019-07-05 11:57:43.369063,0,1800,1000
5,2019-07-05 11:57:43.550578,0,1800,1000
6,2019-07-05 11:57:43.733090,0,1800,1000
7,2019-07-05 11:57:43.918393,0,1800,1000
8,2019-07-05 11:57:44.101903,0,1800,1000
9,2019-07-05 11:57:44.284983,0,1800,1000
10,2019-07-05 11:57:44.469491,0,1800,1000
11,2019-07-05 11:57:44.660979,0,1800,1000
12,2019-07-05 11:57:44.848479,0,1800,1000
13,2019-07-05 11:57:45.026006,0,1800,1000
14,2019-07-05 11:57:45.218490,0,1800,1000
15,2019-07-05 11:57:45.406548,0,1800,1000
16,2019-07-05 11:57:45.593050,0,1800,1000
17,2019-07-05 11:57:45.782665,0,1800,1000
18,2019-07-05 11:57:45.969167,0,1800,1000
19,2019-07-05 11:57:46.153674,0,1800,1000
20,2019-07-05 11:57:46.345163,0,1800,1000
21,2019-07-05 11:57:46.532663,0,1800,1000
22,2019-07-05 11:57:46.755117,0,1800,1008
23,2019-07-05 11:57:46.971384,0,1800,1044
24,2019-07-05 11:57:47.220712,0,1800,1080
25,2019-07-05 11:57:47.411126,587,1800,1050
26,2019-07-05 11:57:47.597426,896,1800,1037
27,2019-07-05 11:57:47.783527,784,1800,1066
28,2019-07-05 11:57:47.975015,968,1800,1068
29,2019-07-05 11:57:48.171603,1017,1800,1078
30,2019-07-05 11:57:48.360100,1082,1800,1086
31,2019-07-05 11:57:48.553584,1177,1800,1087
32,2019-07-05 11:57:48.741083,1263,1800,1091
33,2019-07-05 11:57:48.934568,1330,1800,1094
34,2019-07-05 11:57:49.129047,1390,1800,1095
35,2019-07-05 11:57:49.315550,1435,1800,1098
36,2019-07-05 11:57:49.503049,1485,1800,1100
37,2019-07-05 11:57:49.687867,1513,1800,1102
38,2019-07-05 11:57:49.877631,1548,1800,1103
39,2019-07-05 11:57:50.073685,1581,1800,1105
40,2019-07-05 11:57:50.263179,1608,1800,1106
41,2019-07-05 11:57:50.441702,1628,1800,1106
42,2019-07-05 11:57:50.620225,1637,1800,1108
43,2019-07-05 11:57:50.798749,1652,1800,1110
44,2019-07-05 11:57:50.980265,1680,1800,1110
45,2019-07-05 11:57:51.163774,1706,1800,1109
46,2019-07-05 11:57:51.348282,1719,1800,1110
47,2019-07-05 11:57:51.531383,1724,1800,1110
48,2019-07-05 11:57:51.714413,1746,1800,1110
49,2019-07-05 11:57:51.895928,1749,1800,1109
50,2019-07-05 11:57:52.083591,1749,1800,1111
51,2019-07-05 11:57:52.265711,1754,1800,1111
52,2019-07-05 11:57:52.453823,1762,1800,1111
53,2019-07-05 11:57:52.636336,1764,1800,1111
54,2019-07-05 11:57:52.816856,1764,1800,1112
55,2019-07-05 11:57:53.011335,1754,1800,1114
56,2019-07-05 11:57:53.190855,1762,1800,1114
57,2019-07-05 11:57:53.377358,1767,1800,1114
58,2019-07-05 11:57:53.552889,1754,1800,1115
59,2019-07-05 11:57:53.743924,1756,1800,1117
60,2019-07-05 11:57:53.927433,1777,1800,1116
